%MEM    RSS
 1.1 355984
%MEM    RSS
 2.7 903872
%MEM    RSS
 4.3 1432944
%MEM    RSS
 5.9 1981664
%MEM    RSS
 7.5 2532608
%MEM    RSS
 9.2 3094128
%MEM    RSS
10.9 3653600
%MEM    RSS
12.5 4198608
