%MEM   RSS
 2.8 229956
%MEM   RSS
11.1 911812
%MEM   RSS
19.3 1576068
%MEM   RSS
27.0 2203076
%MEM   RSS
34.8 2837380
%MEM   RSS
42.5 3461572
%MEM   RSS
50.2 4094468
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
%MEM   RSS
51.9 4231264
