%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
%MEM    RSS
12.6 4243504
